human,machine
sunday march 30 2008,2008-03-30
22 oct 1987,1987-10-22
27 may 2003,2003-05-27
7 12 84,1984-12-07
wednesday may 15 2002,2002-05-15
may 4 1997,1997-05-04
18 mar 2017,2017-03-18
wednesday april 26 2006,2006-04-26
jan 13 1987,1987-01-13
5/3/07,2007-05-03
monday january 22 1990,1990-01-22
monday september 23 1985,1985-09-23
7 12 86,1986-12-07
17 08 87,1987-08-17
monday november 1 1993,1993-11-01
october 11 1985,1985-10-11
saturday april 21 2018,2018-04-21
july 31 1973,1973-07-31
13 feb 2009,2009-02-13
friday september 18 1981,1981-09-18
monday december 12 2005,2005-12-12
11/14/79,1979-11-14
tuesday july 24 1984,1984-07-24
18 12 05,2005-12-18
april 25 2012,2012-04-25
7 january 2007,2007-01-07
wednesday may 18 1983,1983-05-18
18 apr 1978,1978-04-18
24.11.13,2013-11-24
8 december 2000,2000-12-08
22 feb 2011,2011-02-22
28 july 1971,1971-07-28
saturday may 12 1979,1979-05-12
5 december 1974,1974-12-05
thursday august 17 1995,1995-08-17
8 05 95,1995-05-08
4 november 2012,2012-11-04
11 march 1998,1998-03-11
monday june 2 1986,1986-06-02
tuesday april 30 2013,2013-04-30
july 8 1988,1988-07-08
january 11 2006,2006-01-11
24 august 1972,1972-08-24
october 20 2007,2007-10-20
saturday february 9 2008,2008-02-09
12 august 2002,2002-08-12
9/17/74,1974-09-17
jul 4 2017,2017-07-04
30 march 1977,1977-03-30
friday january 25 1980,1980-01-25
12 feb 1979,1979-02-12
sunday may 22 1988,1988-05-22
august 18 2017,2017-08-18
29 june 2004,2004-06-29
18 jun 1990,1990-06-18
tuesday december 10 1996,1996-12-10
4 july 1972,1972-07-04
tuesday may 12 1998,1998-05-12
september 19 1980,1980-09-19
monday may 28 1979,1979-05-28
wednesday may 18 1988,1988-05-18
12 september 1970,1970-09-12
30 apr 1988,1988-04-30
tuesday january 22 1980,1980-01-22
saturday august 30 2014,2014-08-30
sunday july 14 2002,2002-07-14
16 nov 2003,2003-11-16
09 jul 1979,1979-07-09
march 26 1979,1979-03-26
tuesday september 11 2012,2012-09-11
sunday october 11 1970,1970-10-11
friday march 26 1999,1999-03-26
12/23/94,1994-12-23
09 dec 1986,1986-12-09
saturday july 29 1989,1989-07-29
september 14 1982,1982-09-14
tuesday october 29 1985,1985-10-29
friday august 24 1973,1973-08-24
4/30/73,1973-04-30
monday may 19 1980,1980-05-19
oct 24 2015,2015-10-24
24 03 90,1990-03-24
3 aug 1996,1996-08-03
wednesday august 21 1974,1974-08-21
thursday may 12 2011,2011-05-12
30.05.86,1986-05-30
friday august 4 1995,1995-08-04
15 jul 2014,2014-07-15
12.12.12,2012-12-12
saturday april 12 2003,2003-04-12
wednesday june 30 1971,1971-06-30
thursday february 16 2012,2012-02-16
may 31 2000,2000-05-31
3 february 1990,1990-02-03
16 feb 1992,1992-02-16
jan 7 1994,1994-01-07
july 20 1970,1970-07-20
friday september 7 1973,1973-09-07
9/17/87,1987-09-17
thursday april 15 2004,2004-04-15
tuesday january 11 1983,1983-01-11
friday march 21 2008,2008-03-21
22 jan 1973,1973-01-22
03 feb 1988,1988-02-03
24 aug 1995,1995-08-24
tuesday december 17 1996,1996-12-17
saturday november 17 2001,2001-11-17
april 1 1984,1984-04-01
21 01 80,1980-01-21
monday february 2 1970,1970-02-02
17 january 2006,2006-01-17
sunday november 29 1981,1981-11-29
5 may 1990,1990-05-05
06 aug 1992,1992-08-06
26 04 88,1988-04-26
5 may 1998,1998-05-05
16.02.82,1982-02-16
24 aug 2015,2015-08-24
5 jan 1986,1986-01-05
wednesday august 25 2004,2004-08-25
friday july 13 1979,1979-07-13
april 15 1994,1994-04-15
30 may 1986,1986-05-30
april 21 1996,1996-04-21
2 april 1997,1997-04-02
mar 23 2006,2006-03-23
february 20 1992,1992-02-20
24 10 01,2001-10-24
15 march 2004,2004-03-15
18 apr 1988,1988-04-18
feb 17 1981,1981-02-17
august 8 2002,2002-08-08
friday september 10 1999,1999-09-10
20 june 1971,1971-06-20
saturday march 10 2007,2007-03-10
tuesday april 14 1998,1998-04-14
saturday october 29 2011,2011-10-29
07 may 2016,2016-05-07
november 7 2003,2003-11-07
17 july 1997,1997-07-17
monday december 12 2005,2005-12-12
thursday may 14 1987,1987-05-14
1/10/99,1999-01-10
sunday june 29 2003,2003-06-29
12 jul 1978,1978-07-12
monday october 1 1990,1990-10-01
31 may 1974,1974-05-31
4/14/93,1993-04-14
28 dec 1986,1986-12-28
sunday june 26 1977,1977-06-26
27 nov 2004,2004-11-27
28.09.18,2018-09-28
11 apr 1974,1974-04-11
sunday may 11 2003,2003-05-11
27 jan 2013,2013-01-27
31 may 2013,2013-05-31
06 dec 1977,1977-12-06
sunday december 18 1983,1983-12-18
12 september 1976,1976-09-12
01 dec 1987,1987-12-01
friday april 12 2013,2013-04-12
1 12 74,1974-12-01
11 12 03,2003-12-11
monday april 27 1970,1970-04-27
april 18 2011,2011-04-18
thursday december 26 1985,1985-12-26
sunday july 31 1977,1977-07-31
12 04 10,2010-04-12
21 mar 2015,2015-03-21
04.03.11,2011-03-04
tuesday october 23 2018,2018-10-23
wednesday october 21 2015,2015-10-21
saturday november 30 1974,1974-11-30
10 apr 1973,1973-04-10
19 mar 1986,1986-03-19
friday october 11 1974,1974-10-11
5 june 1989,1989-06-05
dec 5 2014,2014-12-05
saturday february 28 1981,1981-02-28
sunday june 22 1997,1997-06-22
january 6 1975,1975-01-06
june 5 1970,1970-06-05
wednesday may 2 2012,2012-05-02
thursday april 19 1990,1990-04-19
friday march 3 2000,2000-03-03
monday september 6 2004,2004-09-06
26 jun 1993,1993-06-26
september 24 1974,1974-09-24
monday june 18 2007,2007-06-18
november 16 1998,1998-11-16
september 5 2003,2003-09-05
1 jan 2004,2004-01-01
saturday august 6 1983,1983-08-06
4 dec 1997,1997-12-04
13 07 93,1993-07-13
8 june 1978,1978-06-08
24 jan 1984,1984-01-24
27 nov 2011,2011-11-27
march 7 1999,1999-03-07
monday september 22 2008,2008-09-22
may 13 2013,2013-05-13
thursday march 23 2006,2006-03-23
3 jun 2016,2016-06-03
friday november 26 2010,2010-11-26
sunday september 18 1983,1983-09-18
tuesday july 21 1970,1970-07-21
tuesday december 30 1980,1980-12-30
3 08 01,2001-08-03
thursday june 26 1980,1980-06-26
monday january 15 2018,2018-01-15
02.09.17,2017-09-02
sunday may 10 2009,2009-05-10
jun 18 2015,2015-06-18
29 july 2012,2012-07-29
31 01 70,1970-01-31
15 sep 1980,1980-09-15
october 22 1987,1987-10-22
october 9 1996,1996-10-09
23 april 2002,2002-04-23
19 sep 2008,2008-09-19
october 17 1980,1980-10-17
1/29/16,2016-01-29
aug 14 2015,2015-08-14
saturday november 3 2012,2012-11-03
monday february 28 1983,1983-02-28
12 february 1974,1974-02-12
november 20 1991,1991-11-20
saturday november 12 2016,2016-11-12
tuesday september 22 1987,1987-09-22
friday august 19 1994,1994-08-19
thursday march 25 1999,1999-03-25
16 jan 1993,1993-01-16
december 3 1983,1983-12-03
21 february 2013,2013-02-21
23 12 03,2003-12-23
31.05.89,1989-05-31
friday january 20 1995,1995-01-20
20 may 1973,1973-05-20
saturday august 8 1987,1987-08-08
wednesday january 16 2019,2019-01-16
oct 2 1977,1977-10-02
may 13 1980,1980-05-13
31 may 2018,2018-05-31
january 6 1978,1978-01-06
friday june 24 2005,2005-06-24
january 8 1976,1976-01-08
23 aug 2014,2014-08-23
friday september 28 2018,2018-09-28
07.06.07,2007-06-07
05.08.82,1982-08-05
20 july 1982,1982-07-20
wednesday february 5 2003,2003-02-05
23.02.10,2010-02-23
june 23 1995,1995-06-23
may 22 2016,2016-05-22
5 may 2016,2016-05-05
3 nov 1997,1997-11-03
30 september 2000,2000-09-30
14 aug 1973,1973-08-14
27 jul 1971,1971-07-27
feb 9 2012,2012-02-09
feb 16 1987,1987-02-16
15 apr 1990,1990-04-15
thursday september 7 2017,2017-09-07
tuesday may 10 1994,1994-05-10
27 nov 1996,1996-11-27
thursday march 6 1997,1997-03-06
sunday june 20 1999,1999-06-20
sunday june 1 1986,1986-06-01
17 jan 2006,2006-01-17
24 aug 1981,1981-08-24
friday may 12 2017,2017-05-12
26 06 92,1992-06-26
1/19/95,1995-01-19
6/20/82,1982-06-20
12 jun 2010,2010-06-12
august 1 2015,2015-08-01
18 04 72,1972-04-18
thursday december 23 1999,1999-12-23
wednesday june 30 1971,1971-06-30
wednesday december 31 2014,2014-12-31
25 september 2003,2003-09-25
thursday march 20 2008,2008-03-20
monday december 26 2005,2005-12-26
18.08.14,2014-08-18
21 02 70,1970-02-21
tuesday december 23 2003,2003-12-23
december 2 2005,2005-12-02
3/10/97,1997-03-10
11 january 1986,1986-01-11
december 16 1995,1995-12-16
jul 9 1971,1971-07-09
02.08.13,2013-08-02
january 21 1991,1991-01-21
26 march 1997,1997-03-26
03 jan 2012,2012-01-03
thursday april 5 2007,2007-04-05
mar 31 2009,2009-03-31
19 nov 1995,1995-11-19
22 july 2011,2011-07-22
saturday january 14 1995,1995-01-14
jul 5 2010,2010-07-05
03.09.84,1984-09-03
thursday june 4 1992,1992-06-04
thursday may 21 1992,1992-05-21
september 6 1998,1998-09-06
27 jan 1983,1983-01-27
monday february 10 2003,2003-02-10
19 may 2007,2007-05-19
friday october 8 1993,1993-10-08
3 september 1997,1997-09-03
25 november 1977,1977-11-25
august 14 1971,1971-08-14
14 jul 2010,2010-07-14
december 29 2011,2011-12-29
friday february 17 1995,1995-02-17
august 1 1980,1980-08-01
wednesday may 21 2014,2014-05-21
september 16 2007,2007-09-16
3 dec 1999,1999-12-03
4 feb 2012,2012-02-04
thursday november 5 2015,2015-11-05
may 30 1994,1994-05-30
wednesday december 26 2018,2018-12-26
jan 25 1993,1993-01-25
16 jun 1987,1987-06-16
4 december 1975,1975-12-04
tuesday october 2 1979,1979-10-02
25 aug 1983,1983-08-25
tuesday august 15 2006,2006-08-15
17 09 79,1979-09-17
12 january 2008,2008-01-12
monday december 2 2013,2013-12-02
20 sep 2000,2000-09-20
monday august 13 1984,1984-08-13
9 september 2007,2007-09-09
saturday june 22 2002,2002-06-22
monday september 15 1980,1980-09-15
friday july 1 2016,2016-07-01
29 october 1970,1970-10-29
sunday october 20 1985,1985-10-20
22 03 13,2013-03-22
thursday april 17 1997,1997-04-17
24 feb 2000,2000-02-24
april 23 2003,2003-04-23
6 april 1994,1994-04-06
october 7 2013,2013-10-07
sunday march 1 1998,1998-03-01
may 23 1981,1981-05-23
wednesday april 24 2013,2013-04-24
wednesday november 3 1982,1982-11-03
october 23 1971,1971-10-23
saturday april 4 1981,1981-04-04
saturday september 8 2007,2007-09-08
wednesday april 20 1977,1977-04-20
04.10.06,2006-10-04
saturday april 17 2010,2010-04-17
tuesday march 24 1970,1970-03-24
19 june 1972,1972-06-19
03 oct 2001,2001-10-03
01.12.00,2000-12-01
9 apr 1971,1971-04-09
april 24 2011,2011-04-24
11 june 2003,2003-06-11
sunday december 28 2003,2003-12-28
monday february 14 1977,1977-02-14
2 september 2013,2013-09-02
monday june 4 2007,2007-06-04
april 11 2013,2013-04-11
sunday october 4 1998,1998-10-04
jan 19 2019,2019-01-19
21 july 1998,1998-07-21
22 may 1972,1972-05-22
thursday october 3 1996,1996-10-03
13 december 2012,2012-12-13
january 18 1978,1978-01-18
18 sep 1971,1971-09-18
saturday february 23 1985,1985-02-23
march 30 1994,1994-03-30
november 22 1994,1994-11-22
sunday may 29 2011,2011-05-29
4 04 86,1986-04-04
june 25 2015,2015-06-25
15 jul 2001,2001-07-15
15.12.11,2011-12-15
sunday september 12 1993,1993-09-12
tuesday december 16 2014,2014-12-16
apr 15 2018,2018-04-15
16 may 2004,2004-05-16
friday august 26 1977,1977-08-26
11 nov 1971,1971-11-11
friday february 3 1978,1978-02-03
2 april 2012,2012-04-02
saturday february 25 1984,1984-02-25
27 sep 1977,1977-09-27
sunday may 20 2018,2018-05-20
monday december 14 1987,1987-12-14
14 03 86,1986-03-14
saturday december 13 2008,2008-12-13
tuesday february 10 1970,1970-02-10
sunday july 5 1998,1998-07-05
2/3/08,2008-02-03
29 april 2004,2004-04-29
10 dec 1991,1991-12-10
wednesday august 22 1973,1973-08-22
11/12/84,1984-11-12
tuesday december 17 1991,1991-12-17
tuesday september 27 2016,2016-09-27
4 jan 1983,1983-01-04
31 october 2013,2013-10-31
11.08.82,1982-08-11
11 april 1972,1972-04-11
wednesday september 5 2012,2012-09-05
monday august 6 2018,2018-08-06
tuesday may 9 2000,2000-05-09
30 october 2011,2011-10-30
monday august 16 1971,1971-08-16
august 1 1987,1987-08-01
28 july 2016,2016-07-28
thursday june 7 2012,2012-06-07
sunday july 29 1984,1984-07-29
friday april 19 1974,1974-04-19
21.06.17,2017-06-21
sunday february 19 2012,2012-02-19
saturday september 28 2002,2002-09-28
sunday april 3 2011,2011-04-03
friday may 27 2011,2011-05-27
30 mar 1977,1977-03-30
july 4 1993,1993-07-04
21 09 02,2002-09-21
11 december 2011,2011-12-11
22 april 1997,1997-04-22
saturday july 17 1999,1999-07-17
1 jun 1984,1984-06-01
30 september 1983,1983-09-30
12 jul 2012,2012-07-12
11 dec 2011,2011-12-11
monday october 8 1979,1979-10-08
9 10 98,1998-10-09
tuesday november 30 2010,2010-11-30
march 25 1970,1970-03-25
tuesday may 28 2013,2013-05-28
27 05 76,1976-05-27
6/2/95,1995-06-02
01.10.72,1972-10-01
monday september 21 1987,1987-09-21
6 february 1979,1979-02-06
02.10.18,2018-10-02
jul 9 1980,1980-07-09
december 4 2005,2005-12-04
tuesday january 6 2004,2004-01-06
19 july 2003,2003-07-19
9/10/98,1998-09-10
april 11 1990,1990-04-11
wednesday march 23 1977,1977-03-23
wednesday november 12 1975,1975-11-12
may 29 1971,1971-05-29
5/15/18,2018-05-15
08.01.75,1975-01-08
saturday september 12 2015,2015-09-12
friday june 1 1979,1979-06-01
monday may 28 2007,2007-05-28
monday april 13 2009,2009-04-13
tuesday september 18 2001,2001-09-18
thursday july 2 1981,1981-07-02
july 23 1984,1984-07-23
saturday october 15 2005,2005-10-15
friday september 28 1984,1984-09-28
10 may 2006,2006-05-10
18 07 12,2012-07-18
december 3 2003,2003-12-03
sunday october 22 2017,2017-10-22
saturday december 4 1976,1976-12-04
may 30 1984,1984-05-30
september 7 2006,2006-09-07
saturday april 1 1972,1972-04-01
03 oct 1999,1999-10-03
thursday april 13 1989,1989-04-13
19 mar 1986,1986-03-19
12 may 1975,1975-05-12
31 may 2016,2016-05-31
18 dec 1999,1999-12-18
friday march 10 2000,2000-03-10
jul 1 1990,1990-07-01
27 november 1989,1989-11-27
saturday december 9 2000,2000-12-09
9 may 1972,1972-05-09
monday december 28 1998,1998-12-28
02 feb 1989,1989-02-02
tuesday february 22 1983,1983-02-22
tuesday december 15 1998,1998-12-15
wednesday july 8 2015,2015-07-08
26 apr 2016,2016-04-26
monday december 5 1977,1977-12-05
25 mar 1997,1997-03-25
thursday may 5 1988,1988-05-05
6 july 2011,2011-07-06
april 17 1972,1972-04-17
september 27 1978,1978-09-27
23 apr 2000,2000-04-23
10 may 2011,2011-05-10
mar 9 1996,1996-03-09
6 feb 2008,2008-02-06
monday november 15 1999,1999-11-15
22 february 1977,1977-02-22
1 july 2008,2008-07-01
09.04.06,2006-04-09
14 january 1972,1972-01-14
december 9 1980,1980-12-09
thursday may 27 1999,1999-05-27
27 may 2005,2005-05-27
thursday march 29 1973,1973-03-29
16 november 2012,2012-11-16
30 oct 2004,2004-10-30
10 august 1980,1980-08-10
wednesday february 14 1973,1973-02-14
15 august 1992,1992-08-15
january 6 2006,2006-01-06
21 jan 2014,2014-01-21
tuesday march 4 2014,2014-03-04
01 nov 2006,2006-11-01
06.10.01,2001-10-06
15 march 1970,1970-03-15
sunday july 17 1977,1977-07-17
june 26 1985,1985-06-26
july 8 2012,2012-07-08
sunday may 11 2008,2008-05-11
thursday march 25 1982,1982-03-25
january 12 1997,1997-01-12
22 may 2003,2003-05-22
1/7/93,1993-01-07
wednesday december 7 1988,1988-12-07
24 february 2016,2016-02-24
25 january 2002,2002-01-25
april 20 1996,1996-04-20
13 august 1972,1972-08-13
sunday october 29 1978,1978-10-29
friday june 5 2015,2015-06-05
tuesday march 15 1994,1994-03-15
16 jul 1988,1988-07-16
21 sep 1994,1994-09-21
friday june 5 1987,1987-06-05
23 05 91,1991-05-23
tuesday september 28 2010,2010-09-28
sunday june 7 1981,1981-06-07
12/18/00,2000-12-18
december 10 1996,1996-12-10
aug 21 2017,2017-08-21
08.12.18,2018-12-08
friday september 25 2015,2015-09-25
29 nov 2000,2000-11-29
29 mar 1988,1988-03-29
october 7 1994,1994-10-07
tuesday december 11 1973,1973-12-11
april 18 1985,1985-04-18
31 march 1997,1997-03-31
march 25 1993,1993-03-25
07 jun 2012,2012-06-07
tuesday april 30 2013,2013-04-30
18 april 1975,1975-04-18
monday october 23 1972,1972-10-23
10 march 1987,1987-03-10
27 sep 2016,2016-09-27
april 5 2004,2004-04-05
5 may 2011,2011-05-05
17 october 2001,2001-10-17
friday december 15 2006,2006-12-15
thursday january 13 1983,1983-01-13
december 25 2018,2018-12-25
thursday january 19 2012,2012-01-19
27 apr 1979,1979-04-27
21 may 1990,1990-05-21
tuesday november 7 2006,2006-11-07
8 jan 1988,1988-01-08
saturday june 22 1991,1991-06-22
thursday october 12 1995,1995-10-12
january 11 2009,2009-01-11
thursday november 13 1997,1997-11-13
monday june 25 1990,1990-06-25
friday january 8 1993,1993-01-08
friday december 31 2010,2010-12-31
12 jun 2003,2003-06-12
10 december 2003,2003-12-10
saturday august 8 1998,1998-08-08
02.10.09,2009-10-02
wednesday april 2 1997,1997-04-02
wednesday december 18 1991,1991-12-18
sunday august 17 2003,2003-08-17
thursday october 26 2017,2017-10-26
09.03.09,2009-03-09
april 26 1983,1983-04-26
tuesday june 3 2003,2003-06-03
12/28/02,2002-12-28
friday august 3 2012,2012-08-03
tuesday may 25 1976,1976-05-25
wednesday april 22 1998,1998-04-22
october 26 2017,2017-10-26
saturday may 8 2010,2010-05-08
tuesday september 11 2012,2012-09-11
17 august 1992,1992-08-17
26 oct 2004,2004-10-26
december 23 2011,2011-12-23
tuesday october 24 1989,1989-10-24
monday december 28 1992,1992-12-28
03.06.95,1995-06-03
saturday january 15 1983,1983-01-15
wednesday september 25 1996,1996-09-25
friday july 16 2004,2004-07-16
31 august 1975,1975-08-31
monday november 14 1988,1988-11-14
8 may 1980,1980-05-08
saturday february 1 1986,1986-02-01
saturday august 28 1971,1971-08-28
4 jul 2003,2003-07-04
26 november 2011,2011-11-26
sunday november 23 1997,1997-11-23
sunday december 1 1974,1974-12-01
sunday may 29 1994,1994-05-29
4 feb 2014,2014-02-04
thursday february 18 1993,1993-02-18
friday november 23 2001,2001-11-23
saturday january 5 1991,1991-01-05
monday october 8 1990,1990-10-08
5 nov 2006,2006-11-05
10 june 1970,1970-06-10
monday may 24 2004,2004-05-24
friday january 17 1986,1986-01-17
sunday october 22 1978,1978-10-22
tuesday october 31 2017,2017-10-31
wednesday november 10 2004,2004-11-10
22.01.76,1976-01-22
18 december 1970,1970-12-18
2 november 2008,2008-11-02
4 december 2005,2005-12-04
1 08 82,1982-08-01
20 march 1998,1998-03-20
19 november 2014,2014-11-19
thursday october 1 2009,2009-10-01
thursday july 23 2015,2015-07-23
22 jun 2006,2006-06-22
20 april 1973,1973-04-20
friday august 15 1975,1975-08-15
june 29 2000,2000-06-29
24 jun 2013,2013-06-24
tuesday july 29 1980,1980-07-29
17 october 2001,2001-10-17
21 january 1986,1986-01-21
monday february 4 2002,2002-02-04
saturday july 7 1973,1973-07-07
may 30 1976,1976-05-30
17 january 1998,1998-01-17
11 february 1992,1992-02-11
wednesday july 9 2008,2008-07-09
1 december 2006,2006-12-01
26.08.71,1971-08-26
28 jan 2010,2010-01-28
24.09.06,2006-09-24
june 20 2007,2007-06-20
monday march 13 1972,1972-03-13
march 17 1988,1988-03-17
saturday may 28 2016,2016-05-28
august 23 1975,1975-08-23
monday july 27 1998,1998-07-27
monday october 19 1987,1987-10-19
thursday january 29 1970,1970-01-29
monday february 23 1981,1981-02-23
08 nov 1991,1991-11-08
sunday may 28 2017,2017-05-28
29 mar 1988,1988-03-29
july 16 2001,2001-07-16
18.05.06,2006-05-18
3 jan 2011,2011-01-03
tuesday november 11 1997,1997-11-11
monday april 7 2003,2003-04-07
17 may 2006,2006-05-17
16 sep 2000,2000-09-16
tuesday june 25 1985,1985-06-25
monday june 12 1978,1978-06-12
sunday august 26 1990,1990-08-26
october 23 1973,1973-10-23
monday november 22 2004,2004-11-22
17 apr 2005,2005-04-17
30 apr 1974,1974-04-30
07.09.16,2016-09-07
21.05.92,1992-05-21
october 10 2003,2003-10-10
18 nov 1975,1975-11-18
tuesday december 14 2010,2010-12-14
apr 7 1970,1970-04-07
sunday october 17 1993,1993-10-17
saturday november 30 1985,1985-11-30
wednesday september 19 1990,1990-09-19
february 19 1985,1985-02-19
monday october 6 1997,1997-10-06
9 09 83,1983-09-09
sunday april 20 1997,1997-04-20
31 aug 1997,1997-08-31
26.02.78,1978-02-26
sunday september 27 2009,2009-09-27
friday july 20 1979,1979-07-20
17 jun 2013,2013-06-17
tuesday july 2 1974,1974-07-02
2 june 2006,2006-06-02
thursday june 18 1992,1992-06-18
28 jan 2000,2000-01-28
wednesday november 25 1987,1987-11-25
2/5/17,2017-02-05
23 mar 1979,1979-03-23
january 6 2014,2014-01-06
09 jul 1992,1992-07-09
8 january 2000,2000-01-08
tuesday april 27 1993,1993-04-27
tuesday february 7 2006,2006-02-07
feb 2 1977,1977-02-02
friday july 29 1994,1994-07-29
thursday june 1 1995,1995-06-01
26 nov 1985,1985-11-26
thursday september 28 2017,2017-09-28
sunday november 10 1996,1996-11-10
15.03.88,1988-03-15
24 nov 1988,1988-11-24
monday may 14 1973,1973-05-14
july 4 1977,1977-07-04
12/5/06,2006-12-05
thursday august 5 1982,1982-08-05
7 feb 1984,1984-02-07
08 aug 2008,2008-08-08
28 feb 2016,2016-02-28
16 jul 1999,1999-07-16
friday january 18 1974,1974-01-18
1/22/81,1981-01-22
november 23 2006,2006-11-23
wednesday october 18 2017,2017-10-18
oct 3 1987,1987-10-03
march 29 2006,2006-03-29
feb 28 1987,1987-02-28
5/29/78,1978-05-29
19 january 1978,1978-01-19
april 1 1991,1991-04-01
11.10.75,1975-10-11
saturday march 18 1995,1995-03-18
26 11 87,1987-11-26
09 oct 2016,2016-10-09
tuesday may 1 2012,2012-05-01
february 18 2015,2015-02-18
sunday april 22 2012,2012-04-22
feb 20 2015,2015-02-20
wednesday september 25 1974,1974-09-25
11 07 91,1991-07-11
13 05 11,2011-05-13
13 feb 1996,1996-02-13
sunday february 12 1984,1984-02-12
jun 2 1994,1994-06-02
tuesday march 6 2018,2018-03-06
tuesday september 8 1970,1970-09-08
tuesday january 19 2016,2016-01-19
2/16/93,1993-02-16
apr 29 2018,2018-04-29
20 mar 1987,1987-03-20
23 may 1996,1996-05-23
saturday december 14 2002,2002-12-14
monday december 9 1996,1996-12-09
thursday december 12 2002,2002-12-12
nov 17 2001,2001-11-17
15 mar 1993,1993-03-15
friday december 22 1978,1978-12-22
monday july 23 2007,2007-07-23
august 27 1988,1988-08-27
8 october 1996,1996-10-08
16 oct 1974,1974-10-16
21 aug 2017,2017-08-21
monday august 1 1988,1988-08-01
15 jul 1972,1972-07-15
saturday april 24 1976,1976-04-24
sunday may 17 2015,2015-05-17
friday december 14 2018,2018-12-14
sunday october 13 1985,1985-10-13
14 jun 2015,2015-06-14
monday august 25 1997,1997-08-25
monday january 30 1989,1989-01-30
16 august 1981,1981-08-16
sunday july 1 1973,1973-07-01
10/2/86,1986-10-02
wednesday february 7 1973,1973-02-07
monday august 17 2009,2009-08-17
monday august 27 1979,1979-08-27
thursday may 11 2006,2006-05-11
31 jul 1995,1995-07-31
tuesday october 18 2005,2005-10-18
16 december 2001,2001-12-16
february 17 2010,2010-02-17
3 02 71,1971-02-03
friday july 4 2003,2003-07-04
friday april 11 1986,1986-04-11
saturday may 30 1998,1998-05-30
26 august 2017,2017-08-26
sunday december 3 2000,2000-12-03
wednesday august 19 1987,1987-08-19
17 jul 2011,2011-07-17
saturday june 25 1988,1988-06-25
24 jul 1979,1979-07-24
07 oct 2013,2013-10-07
23 jan 1979,1979-01-23
15 nov 1995,1995-11-15
24 aug 1983,1983-08-24
28 oct 2009,2009-10-28
wednesday april 11 1990,1990-04-11
10 jun 1993,1993-06-10
19 december 1980,1980-12-19
sunday may 2 2010,2010-05-02
june 6 2007,2007-06-06
7 june 1977,1977-06-07
sunday february 23 2014,2014-02-23
2/1/16,2016-02-01
1/1/70,1970-01-01
november 6 1977,1977-11-06
august 3 1974,1974-08-03
4/28/07,2007-04-28
wednesday december 26 1979,1979-12-26
10/23/83,1983-10-23
27 july 2010,2010-07-27
march 28 2009,2009-03-28
20 july 2003,2003-07-20
friday july 8 1977,1977-07-08
24.03.09,2009-03-24
tuesday march 9 2004,2004-03-09
7 nov 2004,2004-11-07
tuesday july 18 2006,2006-07-18
saturday march 20 2010,2010-03-20
saturday april 4 1970,1970-04-04
jul 19 1998,1998-07-19
friday november 27 1992,1992-11-27
tuesday february 17 1976,1976-02-17
11 sep 1998,1998-09-11
21 july 2009,2009-07-21
monday august 8 2016,2016-08-08
9/17/86,1986-09-17
monday february 23 1970,1970-02-23
monday september 5 2011,2011-09-05
friday may 5 1972,1972-05-05
31 jul 1986,1986-07-31
dec 4 1988,1988-12-04
16 dec 1971,1971-12-16
28.03.88,1988-03-28
11/19/81,1981-11-19
4 may 1971,1971-05-04
24 jan 1976,1976-01-24
october 9 1978,1978-10-09
wednesday september 17 2008,2008-09-17
25 october 2007,2007-10-25
20 dec 2007,2007-12-20
saturday august 1 2015,2015-08-01
sunday november 7 1993,1993-11-07
wednesday november 14 1979,1979-11-14
20 jul 1979,1979-07-20
sunday july 14 2013,2013-07-14
wednesday october 23 2013,2013-10-23
august 11 1998,1998-08-11
21 aug 1980,1980-08-21
sunday may 25 1975,1975-05-25
december 27 1984,1984-12-27
august 14 1996,1996-08-14
15 jul 1985,1985-07-15
17 april 2004,2004-04-17
thursday july 13 2006,2006-07-13
18.08.72,1972-08-18
dec 16 1981,1981-12-16
apr 27 2004,2004-04-27
1 may 2004,2004-05-01
thursday march 16 1978,1978-03-16
may 26 1972,1972-05-26
6 10 78,1978-10-06
sunday december 17 1978,1978-12-17
sunday july 30 2000,2000-07-30
22 04 90,1990-04-22
25 nov 1996,1996-11-25
13 nov 2018,2018-11-13
26 nov 1974,1974-11-26
august 27 2017,2017-08-27
thursday september 17 2015,2015-09-17
24 jul 2006,2006-07-24
17 sep 1981,1981-09-17
saturday january 27 1973,1973-01-27
sunday july 2 2000,2000-07-02
8 02 92,1992-02-08
27 nov 1992,1992-11-27
march 17 1995,1995-03-17
friday november 7 2014,2014-11-07
thursday march 5 1998,1998-03-05
8 march 1997,1997-03-08
nov 10 1973,1973-11-10
july 16 1983,1983-07-16
08 aug 2017,2017-08-08
30 oct 1973,1973-10-30
mar 19 1982,1982-03-19
17 feb 2013,2013-02-17
25 may 1984,1984-05-25
tuesday august 17 1976,1976-08-17
8/11/88,1988-08-11
may 28 2010,2010-05-28
sunday august 29 1976,1976-08-29
friday december 17 1971,1971-12-17
tuesday august 18 1987,1987-08-18
monday march 21 1983,1983-03-21
16 sep 1997,1997-09-16
28 09 87,1987-09-28
friday september 19 1997,1997-09-19
thursday august 7 1986,1986-08-07
sunday february 28 1971,1971-02-28
10 jul 2006,2006-07-10
friday august 5 2011,2011-08-05
saturday august 30 2003,2003-08-30
12/10/81,1981-12-10
thursday september 20 1973,1973-09-20
sunday march 11 2007,2007-03-11
